 ,Country,Years of Participation,Total Athletes,Rank by Medals,Total Medals,Total Medals,   ,  ,  ,Rank by Points,Total Medal Points,Medals per Athlete,Average Rank by Year,Medals per Event
https://www.worldometers.info//img/flags/small/tn_vm-flag.gif,Vietnam,1,2,61,2,2,1,0,1,61,1,1,40,1
https://www.worldometers.info//img/flags/small/tn_gg-flag.gif,Georgia,1,1,65,1,1,1,0,0,64,1,1,46,1
https://www.worldometers.info//img/flags/small/tn_gt-flag.gif,Guatemala,1,1,65,1,1,1,0,0,64,1,1,30,1
https://www.worldometers.info//img/flags/small/tn_ic-flag.gif,Iceland,1,1,65,1,1,0,0,1,70,0,1,27,1
https://www.worldometers.info//img/flags/small/tn_kz-flag.gif,Kazakhstan,1,1,65,1,1,1,0,0,64,1,1,17,1
https://www.worldometers.info//img/flags/small/tn_mg-flag.gif,Mongolia,1,1,65,1,1,1,0,0,64,1,1,41,1
https://www.worldometers.info//img/flags/small/tn_mo-flag.gif,Morocco,1,1,65,1,1,0,0,1,70,0,1,46,1
https://www.worldometers.info//img/flags/small/tn_mk-flag.gif,North Macedonia,1,1,65,1,1,1,0,0,64,1,1,42,1
https://www.worldometers.info//img/flags/small/tn_jm-flag.gif,Jamaica,,,72,,,,,,72,,,,
https://www.worldometers.info//img/flags/small/tn_mt-flag.gif,Malta,,,72,,,,,,72,,,,
